Application Date,Country,YOE,Seniority,Technology,Code Challenge Score,Technical Interview Score,approved
2019-07-07,Serbia,0,Architect,QA Manual,3,0,False
2022-05-20,Cambodia,29,Mid-Level,Client Success,0,10,False
2021-03-30,Liberia,29,Senior,System Administration,1,5,False
2020-08-21,Luxembourg,10,Junior,Development - FullStack,9,10,True
2022-05-27,Kuwait,4,Mid-Level,Data Engineer,8,7,False
2020-12-26,Puerto Rico,17,Senior,DevOps,3,4,False
2019-07-15,Albania,16,Senior,Development - CMS Frontend,7,2,False
2018-05-22,Sierra Leone,3,Trainee,Adobe Experience Manager,4,2,False
2019-02-17,Yemen,10,Senior,Sales,9,1,False
2018-01-25,Gibraltar,29,Lead,Security,2,10,False
2021-07-01,Poland,19,Junior,Security,0,10,False
2021-07-31,Togo,2,Architect,Mulesoft,4,7,False
2021-05-01,Ireland,8,Mid-Level,Development - Frontend,5,6,False
2022-02-27,Wallis and Futuna,15,Architect,Game Development,10,8,True
2022-04-21,Rwanda,11,Intern,Salesforce,7,1,False
2019-05-19,Uruguay,9,Junior,QA Automation,10,1,False
2020-12-15,United States Minor Outlying Islands,25,Intern,Development - Backend,7,9,False
2019-11-20,Singapore,8,Senior,Game Development,8,4,False
2018-02-16,Ghana,13,Mid-Level,Development - Backend,8,2,False
2019-07-30,Bosnia and Herzegovina,5,Junior,Security,1,8,False
2021-09-07,Lesotho,30,Architect,Technical Writing,3,5,False
2019-07-10,Netherlands Antilles,23,Mid-Level,Technical Writing,7,5,False
2020-06-08,Kazakhstan,1,Lead,Client Success,8,1,False
2021-11-26,Algeria,7,Mid-Level,Business Analytics / Project Management,1,6,False
2018-11-26,Peru,4,Junior,Social Media Community Management,0,7,False
2018-02-27,Cambodia,6,Trainee,Mulesoft,4,4,False
2020-11-09,Gibraltar,10,Lead,Design,6,6,False
2021-11-21,Papua New Guinea,16,Lead,Technical Writing,4,4,False
2018-04-30,Lesotho,13,Trainee,Data Engineer,2,5,False
2018-04-18,Sri Lanka,0,Senior,Technical Writing,1,8,False
2018-04-14,Afghanistan,29,Senior,Sales,10,2,False
2020-12-04,Guinea,21,Architect,Mulesoft,3,5,False
2021-08-22,Uruguay,1,Architect,Adobe Experience Manager,6,9,False
2018-07-29,Spain,3,Trainee,Adobe Experience Manager,10,3,False
2020-05-10,Falkland Islands (Malvinas),18,Junior,Development - Backend,4,7,False
2019-04-21,Peru,26,Trainee,Development - FullStack,5,3,False
2021-10-16,Georgia,5,Mid-Level,Mulesoft,7,4,False
2020-08-15,Lebanon,21,Intern,Development - Backend,7,6,False
2022-06-11,Iran,7,Trainee,DevOps,5,10,False
2019-08-21,Niue,21,Trainee,Development - Frontend,6,8,False
2019-01-06,United Arab Emirates,0,Senior,Security,2,7,False
2022-06-05,Niue,1,Architect,Security,7,2,False
2019-04-20,Uruguay,25,Trainee,Social Media Community Management,9,0,False
2021-07-27,Bulgaria,5,Junior,DevOps,10,2,False
2021-04-25,Tajikistan,6,Senior,Design,2,3,False
2021-04-22,Guernsey,11,Lead,Security,3,0,False
2019-08-02,Somalia,9,Mid-Level,Business Analytics / Project Management,2,10,False
2020-01-05,Finland,30,Junior,Design,7,4,False
2018-04-17,New Caledonia,5,Intern,Client Success,8,8,True
2018-09-29,Guatemala,20,Intern,Adobe Experience Manager,1,10,False
2020-06-24,Afghanistan,15,Mid-Level,Adobe Experience Manager,6,10,False
2021-07-25,El Salvador,23,Intern,Business Intelligence,0,2,False
2019-08-27,Yemen,16,Mid-Level,Development - Backend,6,5,False
2018-12-22,Puerto Rico,16,Junior,System Administration,1,4,False
2018-02-25,Mali,16,Senior,Technical Writing,3,6,False
2021-06-28,Costa Rica,30,Architect,Business Analytics / Project Management,9,6,False
2020-09-28,Eritrea,3,Junior,DevOps,3,2,False
2020-07-01,Saint Kitts and Nevis,8,Senior,DevOps,5,4,False
2021-05-20,Taiwan,9,Intern,QA Automation,2,6,False
2018-05-28,Ireland,8,Senior,Mulesoft,8,2,False
2020-03-11,Dominica,22,Senior,System Administration,0,6,False
2019-12-22,United Arab Emirates,13,Lead,Social Media Community Management,0,6,False
2020-06-22,Guam,22,Architect,Technical Writing,6,3,False
2018-11-30,Equatorial Guinea,18,Senior,Salesforce,4,8,False
2019-07-23,Gibraltar,18,Mid-Level,Adobe Experience Manager,8,6,False
2019-06-14,Nigeria,11,Mid-Level,Security Compliance,5,8,False
2018-04-24,Turks and Caicos Islands,26,Trainee,Development - CMS Frontend,0,0,False
2018-06-08,Georgia,8,Senior,DevOps,9,3,False
2019-12-21,Argentina,7,Trainee,Salesforce,10,2,False
2021-12-28,Senegal,19,Lead,Business Intelligence,9,2,False
2018-04-19,Mayotte,3,Lead,Social Media Community Management,6,10,False
2020-05-07,Macedonia,11,Mid-Level,Game Development,4,1,False
2019-09-08,Turkey,21,Senior,Client Success,8,10,True
2018-12-03,Peru,6,Intern,Salesforce,3,9,False
2021-06-07,Austria,27,Senior,Adobe Experience Manager,10,9,True
2018-07-25,Venezuela,1,Architect,Sales,5,9,False
2021-09-24,Yemen,10,Mid-Level,Mulesoft,9,1,False
2021-05-28,Reunion,18,Architect,Social Media Community Management,4,6,False
2022-03-19,Hong Kong,19,Intern,Technical Writing,8,2,False
2021-08-22,New Caledonia,15,Lead,Game Development,3,9,False
2019-02-26,Malta,6,Junior,Database Administration,10,8,True
2019-06-01,Dominica,7,Trainee,Development - FullStack,9,4,False
2021-02-19,Cuba,13,Senior,Business Analytics / Project Management,5,4,False
2022-04-30,San Marino,22,Architect,DevOps,6,7,False
2022-04-19,Saint Kitts and Nevis,30,Trainee,Technical Writing,7,8,False
2019-12-19,Dominica,2,Architect,Social Media Community Management,1,1,False
2021-05-06,Senegal,2,Lead,Security Compliance,1,5,False
2022-02-09,Comoros,8,Senior,Client Success,2,3,False
2022-03-01,Australia,21,Architect,QA Automation,10,8,True
2019-03-03,India,3,Lead,Data Engineer,0,8,False
2020-02-28,Myanmar,10,Intern,Development - CMS Backend,10,7,False
2018-03-17,Azerbaijan,1,Trainee,Mulesoft,9,8,True
2018-11-08,Belarus,20,Trainee,Development - Backend,5,8,False
2018-10-03,Faroe Islands,27,Intern,Security Compliance,3,7,False
2020-04-14,Cocos (Keeling) Islands,24,Lead,Social Media Community Management,4,5,False
2019-04-19,Thailand,11,Architect,Client Success,0,6,False
2019-12-07,Azerbaijan,26,Junior,Security Compliance,3,3,False
2019-12-19,Turkey,7,Junior,DevOps,5,2,False
2019-02-02,Jamaica,1,Lead,Game Development,5,8,False
2022-05-21,Burkina Faso,17,Mid-Level,DevOps,9,5,False
2021-09-30,Estonia,15,Senior,Database Administration,9,3,False
2019-03-25,Wallis and Futuna,18,Trainee,QA Manual,5,4,False
2021-01-04,United Kingdom,18,Lead,DevOps,3,9,False
2019-01-23,Zambia,28,Intern,DevOps,2,0,False
2019-04-21,United Arab Emirates,2,Senior,Game Development,9,3,False
2022-03-20,Luxembourg,15,Architect,Database Administration,7,9,False
2022-06-27,Rwanda,0,Lead,Security Compliance,3,0,False
2021-11-27,Bolivia,2,Senior,Development - Frontend,6,5,False
2018-03-20,Puerto Rico,24,Intern,DevOps,9,9,True
2020-02-07,Malta,10,Junior,DevOps,5,5,False
2021-10-15,Burundi,4,Mid-Level,Game Development,5,8,False
2021-08-29,Afghanistan,23,Intern,QA Manual,7,3,False
2021-06-24,Gibraltar,5,Mid-Level,Security,5,1,False
2019-01-26,Panama,7,Architect,Client Success,7,5,False
2020-10-02,Jordan,12,Senior,DevOps,4,3,False
2018-02-08,Comoros,25,Mid-Level,Sales,3,1,False
2020-01-22,Nicaragua,2,Architect,Technical Writing,8,10,True
2018-07-23,Barbados,27,Intern,Development - Frontend,9,6,False
2021-04-20,Slovenia,30,Mid-Level,Development - CMS Frontend,0,4,False
2022-04-26,Cote d'Ivoire,8,Junior,Mulesoft,6,2,False
2020-03-16,Montenegro,29,Trainee,Design,0,3,False
2020-09-12,Ireland,25,Mid-Level,Development - CMS Frontend,4,4,False
2021-09-02,Malta,16,Senior,Game Development,1,10,False
2018-12-07,Venezuela,28,Intern,Sales,6,7,False
2021-08-02,Turkmenistan,7,Lead,Security,2,3,False
2022-02-18,Japan,13,Trainee,Sales,5,3,False
2022-02-04,Malta,12,Senior,DevOps,10,5,False
2019-11-06,Gambia,15,Intern,Salesforce,8,1,False
2019-08-23,Djibouti,9,Junior,Development - Frontend,7,3,False
2022-06-25,Hungary,29,Intern,Business Analytics / Project Management,3,9,False
2022-06-29,Tokelau,8,Intern,DevOps,10,8,True
2019-11-09,Antarctica (the territory South of 60 deg S),1,Senior,Development - CMS Frontend,9,6,False
2021-01-28,United Kingdom,3,Junior,Game Development,4,9,False
2018-03-01,Antigua and Barbuda,10,Senior,Development - FullStack,0,3,False
2021-12-10,Ukraine,20,Junior,Sales,10,3,False
2019-10-17,Jersey,11,Intern,Mulesoft,3,7,False
2019-05-20,Tokelau,4,Intern,Technical Writing,1,6,False
2018-04-23,Saudi Arabia,27,Mid-Level,Database Administration,2,0,False
2022-03-29,Belize,10,Junior,Adobe Experience Manager,7,5,False
2021-05-21,Belarus,3,Mid-Level,Mulesoft,4,5,False
2019-06-12,Faroe Islands,8,Junior,QA Manual,7,8,False
2018-09-19,Grenada,1,Junior,Business Analytics / Project Management,10,4,False
2022-03-03,Bulgaria,6,Junior,Security Compliance,8,0,False
2021-12-21,Timor-Leste,18,Intern,Game Development,4,10,False
2019-12-22,Canada,10,Junior,System Administration,9,7,False
2021-11-19,Botswana,16,Senior,Game Development,0,9,False
2020-06-12,Belarus,10,Architect,Salesforce,1,7,False
2022-01-20,Northern Mariana Islands,12,Senior,Development - Frontend,4,2,False
2018-06-24,Namibia,21,Intern,Social Media Community Management,1,1,False
2020-03-06,Tokelau,23,Intern,Social Media Community Management,6,3,False
2021-08-03,Georgia,24,Mid-Level,Salesforce,10,9,True
2021-12-03,Malawi,7,Lead,QA Automation,2,8,False
2020-11-20,Suriname,30,Lead,Business Analytics / Project Management,5,6,False
2020-02-28,Micronesia,10,Mid-Level,Game Development,4,10,False
2022-06-19,Lebanon,24,Junior,Technical Writing,3,6,False
2021-10-17,Heard Island and McDonald Islands,3,Mid-Level,Client Success,0,1,False
2021-05-04,Anguilla,23,Senior,Mulesoft,3,0,False
2018-06-13,Serbia,16,Lead,Sales,10,6,False
2022-04-19,Bahamas,13,Junior,Development - CMS Frontend,6,5,False
2022-06-02,Ethiopia,20,Architect,Game Development,8,9,True
2020-01-03,Philippines,2,Lead,System Administration,3,6,False
2020-07-22,Saint Vincent and the Grenadines,5,Senior,Technical Writing,3,0,False
2018-11-04,Antarctica (the territory South of 60 deg S),30,Lead,Technical Writing,1,10,False
2020-11-07,Bolivia,2,Senior,Development - CMS Backend,9,2,False
2019-04-13,Serbia,14,Lead,Sales,8,1,False
2019-03-23,Bolivia,14,Senior,Database Administration,9,6,False
2021-01-04,Reunion,6,Lead,Game Development,3,4,False
2020-01-30,Albania,11,Senior,Sales,10,1,False
2020-08-08,Bangladesh,2,Lead,Game Development,2,4,False
2018-02-15,Heard Island and McDonald Islands,6,Trainee,Development - Frontend,2,1,False
2019-02-18,Kiribati,12,Mid-Level,Game Development,1,1,False
2022-01-28,Afghanistan,11,Junior,Game Development,10,5,False
2019-07-27,Fiji,24,Architect,Client Success,4,1,False
2019-10-31,Mexico,1,Junior,QA Automation,4,6,False
2022-05-28,Chad,17,Trainee,Mulesoft,3,7,False
2019-08-04,Portugal,30,Senior,DevOps,9,9,True
2022-02-11,Norfolk Island,13,Intern,Security Compliance,5,2,False
2018-08-07,Northern Mariana Islands,20,Junior,Game Development,4,1,False
2022-06-06,Dominica,3,Senior,DevOps,3,9,False
2021-02-09,Burkina Faso,2,Intern,Mulesoft,1,0,False
2021-08-20,Micronesia,30,Mid-Level,Database Administration,3,9,False
2019-04-23,United Kingdom,12,Intern,Database Administration,3,6,False
2020-08-07,Fiji,15,Lead,DevOps,3,7,False
2020-02-08,Uzbekistan,25,Lead,DevOps,6,0,False
2020-06-04,Turks and Caicos Islands,19,Junior,Security Compliance,10,7,False
2018-05-25,Bulgaria,5,Intern,Salesforce,4,2,False
2018-09-30,Gambia,18,Lead,Development - CMS Backend,1,2,False
2021-11-22,Anguilla,17,Lead,Development - CMS Frontend,6,4,False
2021-06-25,Wallis and Futuna,15,Lead,Social Media Community Management,10,7,False
2021-10-06,Brazil,27,Trainee,System Administration,0,7,False
2021-02-21,Palau,5,Junior,Business Intelligence,1,0,False
2021-08-28,British Indian Ocean Territory (Chagos Archipelago),4,Mid-Level,DevOps,0,10,False
2020-09-20,Mongolia,25,Mid-Level,Development - FullStack,8,8,True
2018-09-03,Angola,24,Architect,QA Automation,3,3,False
2019-07-13,Singapore,12,Mid-Level,Game Development,9,7,False
2018-07-16,Bahrain,24,Architect,Social Media Community Management,1,2,False
2018-08-26,Antigua and Barbuda,14,Trainee,Salesforce,5,2,False
2018-11-18,Jersey,3,Junior,Social Media Community Management,9,10,True
2018-05-13,Armenia,28,Junior,Development - Backend,0,5,False
2018-11-25,Ethiopia,11,Lead,DevOps,8,4,False
2019-03-04,Oman,24,Trainee,Game Development,3,8,False
2018-11-08,Mauritius,8,Architect,DevOps,10,8,True
2019-12-29,Montserrat,9,Trainee,Design,0,10,False
2020-12-12,Poland,25,Mid-Level,Data Engineer,2,8,False
2020-03-31,Uruguay,23,Lead,Design,1,3,False
2018-05-30,Heard Island and McDonald Islands,8,Junior,Security,6,2,False
2021-04-15,Dominican Republic,16,Junior,Database Administration,1,2,False
2018-02-09,Iran,4,Junior,Development - FullStack,10,4,False
2021-07-31,Mali,22,Junior,Game Development,9,2,False
2020-11-19,Djibouti,6,Architect,DevOps,10,0,False
2021-12-10,Jamaica,5,Lead,Mulesoft,3,3,False
2018-08-10,Saudi Arabia,6,Trainee,Security Compliance,7,9,False
2020-10-22,Finland,10,Junior,System Administration,1,0,False
2018-10-19,Mozambique,11,Architect,QA Manual,5,2,False
2021-05-04,Morocco,29,Lead,Security Compliance,2,1,False
2022-01-11,Liberia,0,Lead,QA Automation,5,4,False
2018-01-13,Norway,16,Architect,Development - CMS Backend,3,2,False
2018-03-15,Luxembourg,14,Trainee,System Administration,8,1,False
2020-08-19,Bangladesh,2,Intern,QA Manual,7,8,False
2018-06-03,Vanuatu,1,Lead,Business Intelligence,7,0,False
2018-08-06,Fiji,13,Architect,Game Development,3,4,False
2019-09-12,Svalbard & Jan Mayen Islands,23,Architect,DevOps,10,0,False
2019-11-19,Jersey,25,Junior,Database Administration,8,2,False
2020-05-23,Eritrea,11,Intern,Development - Backend,7,10,False
2018-02-10,Taiwan,29,Trainee,Development - CMS Backend,1,3,False
2019-03-22,Virgin Islands British,16,Intern,Sales,2,3,False
2021-09-30,Albania,20,Architect,Social Media Community Management,4,4,False
2018-12-11,Virgin Islands British,26,Lead,Mulesoft,5,0,False
2018-03-11,United States of America,29,Architect,DevOps,5,3,False
2021-11-02,Luxembourg,28,Mid-Level,Mulesoft,6,10,False
2022-05-30,Jamaica,11,Intern,Design,10,0,False
2020-07-29,Bangladesh,29,Mid-Level,QA Manual,10,6,False
2018-06-30,Guyana,26,Senior,Client Success,2,1,False
2021-10-28,Guernsey,26,Architect,Security Compliance,8,9,True
2019-05-26,Guatemala,15,Junior,Development - CMS Frontend,3,5,False
2019-09-18,Republic of Korea,4,Trainee,Technical Writing,1,4,False
2020-05-12,Moldova,8,Intern,Business Intelligence,5,8,False
2018-11-25,Mali,19,Junior,Development - Frontend,4,1,False
2021-07-18,Haiti,14,Lead,Game Development,0,10,False
2020-12-12,Ukraine,25,Intern,Sales,9,4,False
2018-01-30,Ecuador,30,Senior,Data Engineer,4,3,False
2021-09-29,Hungary,15,Mid-Level,Game Development,4,1,False
2022-05-05,Bahamas,9,Trainee,System Administration,9,9,True
2021-08-08,Bosnia and Herzegovina,6,Junior,Development - FullStack,2,3,False
2018-03-19,Bulgaria,22,Trainee,Development - FullStack,4,8,False
2018-01-02,Finland,2,Architect,Game Development,3,3,False
2018-08-19,Colombia,3,Senior,Sales,9,7,False
2020-05-30,Lesotho,1,Trainee,Development - FullStack,3,7,False
2018-01-02,Niue,7,Senior,Business Intelligence,2,6,False
2022-03-25,Virgin Islands British,5,Junior,Business Intelligence,2,7,False
2019-02-10,Lithuania,29,Lead,Design,4,3,False
2020-02-17,Tokelau,28,Intern,System Administration,4,0,False
2019-10-06,Kenya,21,Trainee,QA Manual,4,5,False
2018-01-20,Estonia,25,Senior,Business Intelligence,2,4,False
2020-03-30,Burundi,14,Intern,Development - FullStack,7,10,False
2019-01-14,Gibraltar,23,Mid-Level,Development - Frontend,6,9,False
2021-06-19,Jordan,15,Intern,Development - Backend,0,4,False
2020-07-30,Dominica,23,Mid-Level,Sales,3,3,False
2021-11-23,San Marino,5,Trainee,Business Intelligence,4,9,False
2019-04-03,Virgin Islands U.S.,7,Trainee,QA Manual,1,10,False
2019-08-13,Marshall Islands,8,Lead,QA Automation,4,5,False
2021-06-13,Sri Lanka,2,Junior,Adobe Experience Manager,4,9,False
2019-02-14,French Southern Territories,4,Lead,Business Analytics / Project Management,0,8,False
2022-03-28,Virgin Islands U.S.,14,Trainee,Game Development,5,5,False
2019-07-22,Mayotte,14,Intern,System Administration,1,1,False
2020-02-27,Saint Lucia,0,Intern,Technical Writing,6,1,False
2021-07-10,Western Sahara,10,Intern,Client Success,7,7,False
2020-02-16,Ecuador,23,Junior,Adobe Experience Manager,9,6,False
2018-04-27,French Guiana,5,Intern,Game Development,1,0,False
2021-11-02,Bosnia and Herzegovina,21,Architect,DevOps,6,8,False
2020-03-04,Zimbabwe,12,Lead,Salesforce,10,5,False
2022-03-11,Guernsey,13,Senior,Salesforce,7,5,False
2020-08-25,France,5,Senior,Development - Backend,2,0,False
2020-07-01,Antigua and Barbuda,30,Trainee,Development - FullStack,4,2,False
2022-04-16,Tajikistan,22,Trainee,Development - FullStack,6,3,False
2018-06-19,Morocco,24,Senior,Technical Writing,5,3,False
2018-08-14,Sudan,8,Intern,Business Analytics / Project Management,10,1,False
2022-03-22,Cocos (Keeling) Islands,6,Intern,Sales,2,9,False
2019-09-01,United States Minor Outlying Islands,25,Architect,Game Development,2,7,False
2020-02-22,Niger,5,Intern,Social Media Community Management,1,3,False
2022-01-17,Malaysia,10,Lead,Design,1,4,False
2019-07-30,Belarus,6,Mid-Level,QA Automation,4,0,False
2020-03-01,Estonia,22,Lead,Sales,1,0,False
2020-02-13,Liechtenstein,30,Mid-Level,Database Administration,10,7,False
2022-06-15,Aruba,28,Lead,Game Development,10,10,True
2020-02-28,Albania,11,Trainee,Design,4,7,False
2019-07-22,Saint Helena,29,Trainee,Game Development,5,0,False
2021-07-31,United States of America,30,Trainee,System Administration,7,0,False
2019-12-19,Saint Lucia,27,Junior,Adobe Experience Manager,9,10,True
2021-06-23,Palau,12,Architect,Development - Backend,5,1,False
2022-02-25,Jersey,14,Intern,Business Analytics / Project Management,3,1,False
2020-11-19,Christmas Island,5,Intern,Development - CMS Frontend,7,1,False
2018-09-04,Bulgaria,27,Senior,System Administration,5,6,False
2019-04-14,Japan,26,Junior,Design,5,10,False
2020-10-11,Vietnam,26,Junior,Game Development,2,3,False
2021-07-25,Hungary,23,Trainee,QA Manual,5,7,False
2021-10-03,Kenya,27,Mid-Level,Business Analytics / Project Management,9,10,True
2018-03-10,Australia,26,Junior,Client Success,5,8,False
2018-02-23,China,22,Trainee,Technical Writing,1,5,False
2020-07-15,Turks and Caicos Islands,6,Intern,Development - FullStack,5,7,False
2018-04-05,Burkina Faso,1,Junior,Development - Backend,2,9,False
2019-01-14,Kuwait,25,Senior,Social Media Community Management,1,9,False
2019-11-18,United States of America,27,Intern,Business Analytics / Project Management,2,10,False
2018-11-12,Uzbekistan,25,Lead,Data Engineer,8,5,False
2020-09-30,Georgia,26,Senior,Development - Backend,5,4,False
2018-04-27,French Southern Territories,25,Senior,Security Compliance,7,2,False
2019-08-30,Austria,29,Lead,System Administration,10,1,False
2021-08-18,Bhutan,17,Architect,Development - CMS Frontend,2,8,False
2018-07-26,Peru,3,Lead,Security Compliance,2,8,False
2018-12-04,Kyrgyz Republic,27,Mid-Level,Game Development,1,0,False
2019-10-17,Kiribati,14,Mid-Level,Development - Frontend,9,1,False
2020-03-06,Malaysia,3,Senior,Business Intelligence,3,0,False
2018-08-05,Luxembourg,29,Senior,System Administration,3,10,False
2019-05-07,Thailand,25,Mid-Level,System Administration,6,10,False
2020-04-02,Luxembourg,22,Architect,System Administration,3,7,False
2020-09-05,Solomon Islands,22,Intern,Design,0,4,False
2020-07-28,Congo,20,Lead,QA Automation,0,4,False
2019-06-02,Costa Rica,28,Mid-Level,Salesforce,5,8,False
2020-10-26,Cambodia,22,Junior,Client Success,2,5,False
2021-03-30,Mexico,1,Mid-Level,Game Development,0,1,False
2022-03-09,Cocos (Keeling) Islands,24,Architect,Design,4,3,False
2021-05-06,Western Sahara,23,Lead,QA Automation,9,5,False
2018-09-30,Lebanon,26,Senior,Database Administration,2,0,False
2019-08-20,Moldova,10,Intern,Security,5,9,False
2019-04-23,Christmas Island,15,Trainee,QA Manual,2,8,False
2019-08-07,Singapore,18,Junior,Business Intelligence,9,5,False
2020-09-26,Somalia,15,Architect,System Administration,6,10,False
2021-06-10,South Africa,7,Senior,Business Analytics / Project Management,2,6,False
2019-06-03,Solomon Islands,25,Architect,Development - Frontend,9,7,False
2019-02-20,Western Sahara,9,Lead,Development - Backend,8,8,True
2020-10-02,French Guiana,10,Junior,Client Success,2,0,False
2018-12-23,United States Minor Outlying Islands,11,Senior,Technical Writing,8,5,False
2018-10-04,Nauru,20,Mid-Level,Development - FullStack,10,6,False
2019-01-07,Peru,18,Senior,System Administration,7,4,False
2021-03-29,Martinique,3,Architect,QA Automation,3,5,False
2022-01-07,United States Minor Outlying Islands,19,Junior,Development - Frontend,10,6,False
2018-02-03,Mali,20,Mid-Level,Development - CMS Frontend,4,3,False
2019-07-11,Papua New Guinea,15,Intern,Development - Backend,6,7,False
2020-12-22,Monaco,11,Lead,Data Engineer,8,0,False
2018-10-21,Costa Rica,9,Trainee,QA Automation,7,0,False
2020-01-31,Armenia,20,Lead,Development - FullStack,4,6,False
2019-09-24,American Samoa,8,Architect,Development - Backend,2,10,False
2021-02-06,French Southern Territories,15,Intern,Development - CMS Backend,10,0,False
2019-12-04,Mali,30,Junior,Development - Frontend,8,6,False
2020-11-28,Spain,28,Senior,Client Success,1,5,False
2018-09-10,Greece,21,Trainee,Development - Backend,9,6,False
2018-06-29,Reunion,25,Lead,Data Engineer,0,5,False
2019-06-15,Ghana,17,Junior,Development - CMS Backend,1,7,False
2018-09-25,Saint Lucia,19,Mid-Level,Mulesoft,2,10,False
2020-05-12,Guyana,1,Intern,System Administration,0,7,False
2020-03-04,Grenada,18,Junior,Salesforce,8,10,True
2019-09-21,Namibia,30,Senior,Business Analytics / Project Management,6,1,False
2018-09-06,Latvia,24,Trainee,Development - FullStack,6,7,False
2018-03-13,Thailand,17,Lead,Development - Backend,3,7,False
2018-02-27,Thailand,1,Senior,Development - CMS Frontend,3,4,False
2018-01-11,Finland,14,Senior,Development - FullStack,8,4,False
2020-02-26,Palau,3,Lead,QA Automation,4,7,False
2018-10-18,Egypt,5,Lead,Technical Writing,1,1,False
2021-11-22,Eritrea,14,Architect,DevOps,10,8,True
2022-03-14,Monaco,21,Junior,Technical Writing,1,4,False
2020-02-04,Kuwait,0,Junior,Salesforce,0,5,False
2018-03-05,Qatar,22,Architect,Sales,8,4,False
2019-05-05,Denmark,13,Junior,DevOps,3,6,False
2020-01-11,Pitcairn Islands,8,Trainee,Client Success,2,0,False
2020-04-22,Barbados,5,Lead,Mulesoft,4,9,False
2020-05-31,Romania,23,Senior,Game Development,0,8,False
2020-10-01,Gibraltar,10,Senior,Development - CMS Backend,9,1,False
2018-06-06,Nicaragua,27,Architect,Development - FullStack,2,9,False
2022-02-08,Vanuatu,12,Intern,Development - FullStack,2,7,False
2018-08-22,Saint Kitts and Nevis,23,Lead,Data Engineer,9,1,False
2018-02-27,Tajikistan,4,Senior,Sales,1,10,False
2019-03-19,Samoa,26,Intern,DevOps,0,0,False
2019-01-19,Guam,19,Senior,Client Success,5,0,False
2019-03-20,Monaco,4,Architect,Business Analytics / Project Management,3,0,False
2020-01-19,Albania,18,Junior,Client Success,6,3,False
2020-01-22,Haiti,0,Lead,QA Manual,0,8,False
2019-11-09,Bulgaria,4,Junior,Development - FullStack,9,9,True
2020-08-20,Guadeloupe,7,Senior,Salesforce,3,9,False
2022-05-23,French Polynesia,25,Lead,Client Success,10,2,False
2020-04-29,Montenegro,26,Senior,Technical Writing,5,8,False
2021-09-30,Tunisia,8,Intern,Salesforce,8,4,False
2019-09-28,Turkmenistan,27,Mid-Level,Game Development,5,7,False
2020-06-15,Mayotte,30,Senior,Data Engineer,4,2,False
2021-07-09,Senegal,8,Mid-Level,Security Compliance,7,10,False
2021-02-15,Heard Island and McDonald Islands,6,Mid-Level,Social Media Community Management,4,7,False
2021-08-30,South Georgia and the South Sandwich Islands,4,Architect,Game Development,9,8,True
2020-02-13,Georgia,17,Intern,Client Success,5,4,False
2018-12-19,Liberia,4,Trainee,Technical Writing,7,5,False
2021-08-06,Malaysia,16,Junior,Technical Writing,0,3,False
2020-11-27,Togo,5,Junior,Technical Writing,5,4,False
2020-10-23,Saint Martin,23,Intern,Development - FullStack,1,4,False
2021-10-14,Iran,9,Senior,Game Development,2,7,False
2018-12-25,Guinea,1,Junior,Security Compliance,1,8,False
2019-02-22,Estonia,23,Lead,Game Development,3,1,False
2018-02-10,Cambodia,16,Mid-Level,System Administration,4,5,False
2018-08-02,Cuba,30,Junior,System Administration,9,5,False
2020-10-12,Pakistan,22,Mid-Level,Salesforce,10,0,False
2021-08-15,Pakistan,9,Junior,Security Compliance,4,7,False
2019-06-24,Comoros,13,Junior,Game Development,4,4,False
2019-06-15,Madagascar,25,Architect,Development - Backend,9,1,False
2019-01-04,Niue,18,Senior,Social Media Community Management,5,4,False
2021-12-22,Pakistan,29,Architect,Data Engineer,8,8,True
2021-09-20,Holy See (Vatican City State),7,Senior,Technical Writing,3,4,False
2020-01-23,Sri Lanka,2,Junior,Development - Frontend,10,0,False
2018-06-18,New Caledonia,2,Junior,QA Manual,0,1,False
2019-10-09,Norfolk Island,21,Trainee,Adobe Experience Manager,3,4,False
2019-07-30,Oman,7,Lead,Salesforce,10,7,False
2021-06-03,Colombia,2,Architect,Business Intelligence,4,1,False
2020-09-29,Monaco,3,Trainee,Client Success,0,8,False
2020-02-13,Iceland,3,Junior,Database Administration,6,9,False
2018-09-23,Brazil,2,Lead,DevOps,1,10,False
2020-04-13,Sudan,16,Senior,Salesforce,6,0,False
2021-05-29,Guam,13,Trainee,Game Development,2,2,False
2019-06-14,Oman,29,Mid-Level,Development - CMS Frontend,10,10,True
2019-09-28,Albania,13,Trainee,Security Compliance,9,6,False
2019-09-27,Ecuador,17,Lead,Data Engineer,10,2,False
2022-07-02,Guadeloupe,11,Junior,DevOps,7,9,False
2019-12-25,Yemen,7,Trainee,Game Development,3,4,False
2021-10-10,Uruguay,23,Lead,Client Success,8,5,False
2021-10-11,Slovenia,10,Mid-Level,Mulesoft,2,3,False
2019-01-02,Guam,30,Architect,Development - CMS Backend,5,5,False
2020-08-27,Swaziland,2,Intern,Technical Writing,6,8,False
2019-08-10,Indonesia,4,Junior,Development - Frontend,9,9,True
2020-09-20,Puerto Rico,10,Senior,Client Success,4,1,False
2019-03-25,Yemen,3,Intern,QA Automation,2,2,False
2018-06-25,Gibraltar,10,Mid-Level,Mulesoft,4,8,False
2021-07-22,Morocco,26,Senior,Mulesoft,4,4,False
2020-02-17,Zimbabwe,5,Senior,QA Automation,10,4,False
